Gender,Age Group,Industry,Work Experience in your current job,Which of the following social media do you mostly access while at work? (indicate more than one where applicable),Which devices do you use to access social media sites while at work ? (indicate more than one where applicable),Frequency of social media usage while at work,"If you are a daily user, how often do you access social media sites while at work ","Usually, How much time do you spend on social media sites with each log in",Why do you use the social media for (indicate more than one where applicable),I almost always perform better than an accepted level,I often manage workload during office hours,I often Choose to take on additional tasks at work,The Quality of my work is Top-grade,I often introduce innovative approaches to traditional work practices
Male,26 - 30 years,Apparel,Less than 1 year,Facebook;Instagram;WhatsApp;YouTube,Smart Phone,Daily,more than 5 times,6-10 minutes,To keep in touch with friends;Others,3,2,4,4,2
Male,26 - 30 years,Apparel,Less than 1 year,Facebook;Instagram;WhatsApp,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information,3,3,3,3,4
Male,26 - 30 years,Apparel,1-3 Years,Facebook;WhatsApp;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To build business contacts;For news and general information;For entertainment and to kill time,3,4,4,4,3
Female,Less than 25,Apparel,Less than 1 year,Facebook;WhatsApp,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;For news and general information;For entertainment and to kill time;To find solutions to job queries,4,5,3,5,5
Male,31 - 35 years,Apparel,more than 5 years,WhatsApp;Viber;LinkedIn;YouTube,Laptop;Smart Phone,Daily,2-4 times a day,6-10 minutes,For news and general information;To find solutions to job queries,4,4,2,3,3
Female,Less than 25,Apparel,1-3 Years,WhatsApp;Viber,Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends,5,5,4,4,4
Male,26 - 30 years,Apparel,3-5 years,Facebook;WhatsApp;Viber,Laptop;Smart Phone,Daily,2-4 times a day,1-5 minutes,To keep in touch with friends;To build business contacts,4,4,4,5,4
Female,26 - 30 years,Banking,3-5 years,Facebook;WhatsApp;Viber;Google+,Desktop;Smart Phone,Daily,Once a Day,1-5 minutes,To keep in touch with friends;For news and general information,4,4,4,4,4
Male,Less than 25,Apparel,Less than 1 year,Instagram;WhatsApp;YouTube,Laptop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;For entertainment and to kill time,3,4,4,4,4
Female,Less than 25,Apparel,Less than 1 year,Instagram;WhatsApp;Viber;LinkedIn;YouTube,Desktop;Smart Phone,Daily,more than 5 times,1-5 minutes,To keep in touch with friends;To build business contacts;For news and general information;For entertainment and to kill time;To find solutions to job queries,4,5,4,4,3
